,geo_level,region,state,year,week,age,flu_deaths,pneu_deaths,pneu_flu_deaths,all_deaths
0,State,,Maryland,2018,31,All,,,64.0,949.0
1,State,,Texas,2018,19,All,,,242.0,3664.0
2,State,,Pennsylvania,2018,2,All,,,282.0,3185.0
3,State,,Colorado,2018,18,All,,,41.0,702.0
4,State,,Maryland,2018,7,All,,,87.0,1060.0
5,State,,Virginia,2018,2,All,,,125.0,1555.0
6,State,,District of Columbia,2018,42,All,,,8.0,96.0
7,State,,Massachusetts,2018,28,All,,,67.0,1062.0
8,National,,,2017,44,65 years and older,27.0,2588.0,2615.0,39463.0
9,State,,Colorado,2018,36,All,,,27.0,670.0
10,National,,,2017,44,All,36.0,3214.0,3250.0,53679.0
11,State,,California,2018,8,All,,,546.0,5656.0
12,State,,Wyoming,2018,42,All,,,5.0,116.0
13,State,,Pennsylvania,2018,5,All,,,278.0,2901.0
14,State,,South Carolina,2018,31,All,,,51.0,948.0
15,State,,Montana,2018,42,All,,,13.0,192.0
16,State,,Rhode Island,2018,41,All,,,11.0,177.0
17,State,,Ohio,2018,20,All,,,108.0,2164.0
18,State,,New Hampshire,2018,44,All,,,14.0,247.0
19,State,,New Jersey,2018,6,All,,,151.0,1685.0
20,State,,Ohio,2018,25,All,,,98.0,2230.0
21,National,,,2017,47,18-64 years,11.0,569.0,580.0,13460.0
22,State,,District of Columbia,2018,33,All,,,0.0,90.0
23,Region,1,,2018,17,All,8.0,209.0,217.0,2648.0
24,State,,North Dakota,2018,37,All,,,5.0,127.0
25,State,,Maryland,2018,3,All,,,103.0,1097.0
26,Region,7,,2017,44,All,3.0,161.0,164.0,2681.0
27,State,,Nevada,2018,26,All,,,30.0,498.0
28,National,,,2016,15,18-64 years,80.0,766.0,846.0,13641.0
29,State,,Iowa,2018,27,All,,,29.0,503.0
30,State,,Wyoming,2018,45,All,,,9.0,96.0
31,State,,Massachusetts,2018,35,All,,,66.0,1018.0
32,State,,Texas,2018,8,All,,,421.0,4079.0
33,State,,Colorado,2018,2,All,,,88.0,861.0
34,State,,Oklahoma,2018,13,All,,,70.0,718.0
35,State,,Colorado,2018,21,All,,,27.0,714.0
36,State,,Texas,2018,32,All,,,202.0,3599.0
37,State,,Colorado,2018,5,All,,,83.0,842.0
38,State,,Texas,2018,12,All,,,290.0,3794.0
39,State,,Missouri,2018,18,All,,,63.0,1212.0
40,State,,Arkansas,2018,26,All,,,35.0,575.0
41,State,,Minnesota,2018,16,All,,,47.0,838.0
42,State,,Arizona,2018,38,All,,,56.0,1045.0
43,State,,Texas,2018,17,All,,,214.0,3699.0
44,State,,New Hampshire,2016,15,All,,,19.0,232.0
45,State,,Kansas,2017,44,All,,,42.0,567.0
46,State,,Nevada,2018,14,All,,,54.0,482.0
47,National,,,2017,44,18-64 years,6.0,609.0,615.0,13508.0
48,State,,Virginia,2018,23,All,,,56.0,1259.0
49,State,,Kentucky,2018,20,All,,,82.0,931.0
50,State,,Florida,2018,15,All,,,240.0,3896.0
51,State,,South Dakota,2018,34,All,,,10.0,113.0
52,State,,Colorado,2018,4,All,,,96.0,839.0
53,State,,Colorado,2018,1,All,,,89.0,851.0
54,State,,Maine,2018,43,All,,,16.0,269.0
55,State,,Maryland,2018,25,All,,,53.0,867.0
56,National,,,2017,47,All,48.0,3201.0,3249.0,54120.0
57,State,,Illinois,2018,32,All,,,118.0,1892.0
58,State,,Delaware,2018,42,All,,,13.0,180.0
59,State,,Utah,2018,37,All,,,12.0,308.0
60,State,,Tennessee,2018,19,All,,,81.0,1313.0
61,National,,,2016,15,All,196.0,3891.0,4087.0,53490.0
62,State,,Colorado,2018,6,All,,,70.0,809.0
63,Region,1,,2018,15,All,20.0,180.0,200.0,2660.0
64,State,,Colorado,2018,27,All,,,32.0,674.0
65,State,,South Dakota,2018,40,All,,,13.0,151.0
66,State,,Maine,2018,41,All,,,22.0,303.0
67,Region,9,,2018,18,All,6.0,459.0,465.0,6763.0
68,State,,New York City,2018,2,All,,,114.0,1334.0
69,State,,South Dakota,2018,46,All,,,14.0,124.0
70,State,,Delaware,2018,30,All,,,9.0,163.0
71,State,,Texas,2018,24,All,,,236.0,3642.0
72,State,,Wyoming,2018,41,All,,,5.0,88.0
73,State,,Ohio,2018,28,All,,,110.0,2249.0
74,Region,1,,2018,27,All,0.0,147.0,147.0,2491.0
75,State,,Utah,2018,16,All,,,28.0,379.0
76,State,,West Virginia,2018,30,All,,,19.0,411.0
77,State,,Oklahoma,2015,39,All,,,48.0,743.0
78,State,,North Carolina,2017,39,All,,,106.0,1705.0
79,State,,Wyoming,2016,28,All,,,5.0,86.0
80,State,,Nevada,2018,2,All,,,88.0,596.0
81,State,,Kentucky,2018,18,All,,,78.0,930.0
82,State,,District of Columbia,2018,35,All,,,0.0,77.0
83,State,,Virginia,2018,37,All,,,53.0,1252.0
84,State,,Oregon,2018,9,All,,,47.0,712.0
85,State,,Arkansas,2018,12,All,,,50.0,582.0
86,Region,7,,2018,27,All,1.0,132.0,133.0,2450.0
87,State,,Connecticut,2018,4,All,,,83.0,665.0
88,State,,Louisiana,2018,22,All,,,35.0,830.0
89,Region,8,,2018,16,All,5.0,106.0,111.0,1686.0
90,State,,Michigan,2018,29,All,,,105.0,1796.0
91,State,,Massachusetts,2018,22,All,,,68.0,1119.0
92,State,,Kansas,2017,47,All,,,31.0,525.0
93,State,,Texas,2018,6,All,,,463.0,4392.0
94,State,,New Mexico,2018,7,All,,,37.0,387.0
95,State,,New York City,2018,30,All,,,53.0,903.0
96,State,,Idaho,2018,51,All,,,11.0,276.0
97,State,,Montana,2018,25,All,,,9.0,178.0
98,State,,Mississippi,2018,33,All,,,37.0,575.0
99,State,,Colorado,2018,13,All,,,55.0,726.0
100,State,,Virginia,2018,13,All,,,82.0,1364.0
101,Region,7,,2017,47,All,1.0,142.0,143.0,2653.0
102,State,,Maine,2018,27,All,,,17.0,264.0
103,State,,Colorado,2018,33,All,,,39.0,724.0
104,State,,New York City,2018,7,All,,,125.0,1188.0
105,State,,Wisconsin,2018,39,All,,,59.0,994.0
106,State,,Vermont,2018,41,All,,,7.0,120.0
107,Region,1,,2018,14,All,26.0,169.0,195.0,2680.0
108,State,,Wyoming,2018,46,All,,,7.0,116.0
109,State,,Rhode Island,2018,38,All,,,7.0,181.0
110,State,,Washington,2018,14,All,,,103.0,1163.0
111,State,,Vermont,2018,47,All,,,5.0,90.0
112,State,,Washington,2018,16,All,,,69.0,1071.0
113,State,,Hawaii,2018,30,All,,,19.0,205.0
114,State,,Pennsylvania,2018,4,All,,,250.0,2977.0
115,State,,Alabama,2018,27,All,,,43.0,987.0
116,Region,8,,2018,26,All,0.0,92.0,92.0,1500.0
117,State,,Kentucky,2018,15,All,,,80.0,943.0
118,State,,Connecticut,2018,15,All,,,52.0,647.0
119,State,,Nebraska,2018,29,All,,,14.0,275.0
120,National,,,2016,15,65 years and older,112.0,3108.0,3220.0,39151.0
121,State,,Maine,2018,49,All,,,20.0,305.0
